sandal shoes,https://www.macys.com/shop/product/dkny-benson-booties-created-for-macys?ID=6558541&CategoryID=138271#fn=BRAND%3DDKNY%26SIZE%3D%26sp%3D1%26spc%3D105%26ruleId%3D78%7CBOOST%20SAVED%20SET%7CBOOST%20ATTRIBUTE%26searchPass%3DmatchNone%26slotId%3D5
sandal shoes,https://www.macys.com/shop/product/dkny-colby-t-strap-sandals-created-for-macys?ID=4841912&CategoryID=138271#fn=BRAND%3DDKNY%26SIZE%3D%26sp%3D1%26spc%3D105%26ruleId%3D78%7CBOOST%20SAVED%20SET%7CBOOST%20ATTRIBUTE%26searchPass%3DmatchNone%26slotId%3D7
handbags accessories,https://www.dillards.com/p/calvin-klein-ashlynn-windowpane-raffia-tote/507572566?di=05214006_zi_leaf_green_white_black&categoryId=470&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-100267971081181051103275108101105110
handbags accessories,https://www.dillards.com/p/calvin-klein-maggie-printed-tote/507869637?di=05315597_zi_cherub_white_floral&categoryId=470&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-100267971081181051103275108101105110
handbags accessories,https://www.dillards.com/p/calvin-klein-hayden-floral-tote/507571607?di=05213164_zi_black_multi&categoryId=470&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-100267971081181051103275108101105110
handbags accessories,https://www.dillards.com/p/calvin-klein-saffiano-chain-tote/504935969?di=04378626_zi_dahlia&categoryId=470&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-100267971081181051103275108101105110
clutches,https://www.dillards.com/p/kate-spade-new-york-jackson-street-collection-stacy-continental-wallet/506891942?di=04944964_zi_bone_grey&categoryId=603924&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-10021079711610132115112971001013211010
clutches,https://www.dillards.com/p/kate-spade-new-york-cameron-street-collection-stacy-continental-wallet/506360120?di=04783249_zi_misty_mint&categoryId=603924&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-1002107971161013211511297100101321101
handbags accessories,https://www.dillards.com/p/furla-candy-meringa-mini-cross-body-bag/507874045?di=05317813_zi_blu_pavone&categoryId=470&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-10027011711410897
handbags accessories,https://www.dillards.com/p/furla-candy-mini-satchel/504829129?di=04337055_zi_cedro&categoryId=470&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-10027011711410897
